100/2784 68ms/frame
200/2784 52ms/frame
300/2784 45ms/frame
400/2784 42ms/frame
500/2784 57ms/frame
600/2784 56ms/frame
700/2784 53ms/frame
800/2784 51ms/frame
900/2784 51ms/frame
1000/2784 52ms/frame
1100/2784 54ms/frame
1200/2784 54ms/frame
1300/2784 54ms/frame
1400/2784 52ms/frame
1500/2784 56ms/frame
1600/2784 56ms/frame
1700/2784 55ms/frame
1800/2784 55ms/frame
1900/2784 54ms/frame
2000/2784 54ms/frame
2100/2784 53ms/frame
2200/2784 52ms/frame
2300/2784 51ms/frame
2400/2784 50ms/frame
2500/2784 49ms/frame
2600/2784 48ms/frame
2700/2784 47ms/frame
rendered 2784 in 130s
